wavelength_nm,selected_x_px,displacement_px,max_energy,plateau_start_x,plateau_end_x,plateau_width,filepath
1301,634,0.000000,28403.800013,633,635,3,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00000_1301nm.npy
1303,634,0.000000,28309.200026,633,635,3,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00001_1303nm.npy
1305,623,-11.000000,36550.199991,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00002_1305nm.npy
1307,623,-11.000000,36559.799971,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00003_1307nm.npy
1309,623,-11.000000,36590.400002,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00004_1309nm.npy
1311,623,-11.000000,36604.799984,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00005_1311nm.npy
1313,623,-11.000000,36637.199977,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00006_1313nm.npy
1315,623,-11.000000,36642.599969,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00007_1315nm.npy
1317,623,-11.000000,36676.399995,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00008_1317nm.npy
1319,623,-11.000000,36695.600010,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00009_1319nm.npy
1321,623,-11.000000,36755.799995,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00010_1321nm.npy
1323,623,-11.000000,36768.999980,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00011_1323nm.npy
1325,623,-11.000000,36791.799996,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00012_1325nm.npy
1327,623,-11.000000,36851.200003,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00013_1327nm.npy
1329,623,-11.000000,36877.399984,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00014_1329nm.npy
1331,623,-11.000000,36890.000002,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00015_1331nm.npy
1333,623,-11.000000,36913.199994,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00016_1333nm.npy
1335,623,-11.000000,36919.800001,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00017_1335nm.npy
1337,623,-11.000000,36933.399997,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00018_1337nm.npy
1339,623,-11.000000,36962.000030,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00019_1339nm.npy
1341,623,-11.000000,36934.199989,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00020_1341nm.npy
1343,623,-11.000000,36935.000014,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00021_1343nm.npy
1345,623,-11.000000,36940.600007,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00022_1345nm.npy
1347,623,-11.000000,36934.999988,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00023_1347nm.npy
1349,623,-11.000000,36947.599973,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00024_1349nm.npy
1351,623,-11.000000,36961.399998,623,623,1,scan_blocks_output/Try_diferentes_times/B7_1301_1700/00025_1351nm.npy
