wavelength_nm,selected_x_px,displacement_px,max_energy,plateau_start_x,plateau_end_x,plateau_width,filepath
701,561,0.000000,16747.199993,561,561,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00000_0701nm.npy
703,561,0.000000,16805.599996,561,561,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00001_0703nm.npy
705,1051,490.000000,3531.600009,1051,1051,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00002_0705nm.npy
707,568,7.000000,16518.999999,568,568,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00003_0707nm.npy
709,568,7.000000,16569.399994,568,568,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00004_0709nm.npy
711,568,7.000000,16690.400003,568,568,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00005_0711nm.npy
713,568,7.000000,16775.799997,568,568,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00006_0713nm.npy
715,571,10.000000,16864.800006,571,571,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00007_0715nm.npy
717,575,14.000000,16969.600008,575,576,2,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00008_0717nm.npy
719,575,14.000000,17113.799994,575,576,2,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00009_0719nm.npy
721,576,15.000000,17289.200004,576,576,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00010_0721nm.npy
723,576,15.000000,17416.199990,576,576,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00011_0723nm.npy
725,576,15.000000,17518.200008,576,576,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00012_0725nm.npy
727,575,14.000000,17625.000000,575,576,2,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00013_0727nm.npy
729,576,15.000000,17668.000012,576,576,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00014_0729nm.npy
731,576,15.000000,17776.600006,576,576,1,scan_blocks_output/Try_diferentes_times/B5_0701_1000/00015_0731nm.npy
