wavelength_nm,selected_x_px,displacement_px,max_energy,plateau_start_x,plateau_end_x,plateau_width,filepath
501,473,0.000000,17883.799992,473,473,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00000_0501nm.npy
503,473,0.000000,17798.199998,473,473,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00001_0503nm.npy
505,487,14.000000,16306.400009,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00002_0505nm.npy
507,487,14.000000,16365.199982,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00003_0507nm.npy
509,487,14.000000,16420.000021,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00004_0509nm.npy
511,487,14.000000,16196.399981,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00005_0511nm.npy
513,487,14.000000,16237.200028,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00006_0513nm.npy
515,487,14.000000,16176.200012,487,487,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00007_0515nm.npy
517,496,23.000000,16323.199981,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00008_0517nm.npy
519,496,23.000000,16256.400003,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00009_0519nm.npy
521,496,23.000000,16420.000017,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00010_0521nm.npy
523,496,23.000000,16340.600001,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00011_0523nm.npy
525,496,23.000000,16438.400010,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00012_0525nm.npy
527,496,23.000000,16331.800003,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00013_0527nm.npy
529,496,23.000000,16414.400028,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00014_0529nm.npy
531,496,23.000000,16366.400018,496,496,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00015_0531nm.npy
533,498,25.000000,16239.200017,498,498,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00016_0533nm.npy
535,501,28.000000,16245.199997,501,501,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00017_0535nm.npy
537,505,32.000000,16196.999998,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00018_0537nm.npy
539,505,32.000000,16383.600008,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00019_0539nm.npy
541,505,32.000000,16383.000009,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00020_0541nm.npy
543,505,32.000000,16316.199990,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00021_0543nm.npy
545,505,32.000000,16356.800013,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00022_0545nm.npy
547,505,32.000000,16203.200009,505,505,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00023_0547nm.npy
549,510,37.000000,16352.600018,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00024_0549nm.npy
551,510,37.000000,16330.200016,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00025_0551nm.npy
553,510,37.000000,16368.200002,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00026_0553nm.npy
555,510,37.000000,16320.199992,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00027_0555nm.npy
557,510,37.000000,16225.999979,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00028_0557nm.npy
559,510,37.000000,16214.600016,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00029_0559nm.npy
561,510,37.000000,16149.600014,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00030_0561nm.npy
563,510,37.000000,16135.400011,510,510,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00031_0563nm.npy
565,518,45.000000,16042.799991,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00032_0565nm.npy
567,518,45.000000,16126.200020,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00033_0567nm.npy
569,518,45.000000,16012.799993,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00034_0569nm.npy
571,518,45.000000,15988.399987,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00035_0571nm.npy
573,518,45.000000,16048.600001,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00036_0573nm.npy
575,518,45.000000,15979.799996,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00037_0575nm.npy
577,518,45.000000,16010.400011,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00038_0577nm.npy
579,518,45.000000,15912.999987,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00039_0579nm.npy
581,518,45.000000,15891.799999,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00040_0581nm.npy
583,518,45.000000,15780.799995,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00041_0583nm.npy
585,518,45.000000,15722.400002,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00042_0585nm.npy
587,518,45.000000,15718.400015,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00043_0587nm.npy
589,518,45.000000,15699.199998,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00044_0589nm.npy
591,518,45.000000,15487.999997,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00045_0591nm.npy
593,518,45.000000,15437.600001,518,518,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00046_0593nm.npy
595,526,53.000000,15285.799985,526,527,2,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00047_0595nm.npy
597,527,54.000000,15302.400002,527,527,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00048_0597nm.npy
599,530,57.000000,15308.800015,530,530,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00049_0599nm.npy
601,530,57.000000,15299.800001,530,530,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00050_0601nm.npy
603,530,57.000000,15338.399997,530,530,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00051_0603nm.npy
605,530,57.000000,15382.399993,530,530,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00052_0605nm.npy
607,534,61.000000,15349.200006,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00053_0607nm.npy
609,534,61.000000,15383.200006,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00054_0609nm.npy
611,534,61.000000,15411.200006,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00055_0611nm.npy
613,534,61.000000,15408.799998,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00056_0613nm.npy
615,534,61.000000,15385.799991,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00057_0615nm.npy
617,534,61.000000,15391.999982,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00058_0617nm.npy
619,534,61.000000,15383.200009,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00059_0619nm.npy
621,534,61.000000,15389.400008,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00060_0621nm.npy
623,534,61.000000,15341.000000,534,534,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00061_0623nm.npy
625,544,71.000000,15438.000005,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00062_0625nm.npy
627,544,71.000000,15407.399995,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00063_0627nm.npy
629,544,71.000000,15475.200006,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00064_0629nm.npy
631,544,71.000000,15497.600009,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00065_0631nm.npy
633,544,71.000000,15533.399994,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00066_0633nm.npy
635,544,71.000000,15530.199988,544,544,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00067_0635nm.npy
637,552,79.000000,15560.000001,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00068_0637nm.npy
639,552,79.000000,15699.199994,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00069_0639nm.npy
641,552,79.000000,15710.399993,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00070_0641nm.npy
643,552,79.000000,15797.999990,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00071_0643nm.npy
645,552,79.000000,15869.599996,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00072_0645nm.npy
647,552,79.000000,15997.399994,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00073_0647nm.npy
649,552,79.000000,16009.800009,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00074_0649nm.npy
651,552,79.000000,16114.400003,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00075_0651nm.npy
653,552,79.000000,16134.399995,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00076_0653nm.npy
655,552,79.000000,16209.199994,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00077_0655nm.npy
657,552,79.000000,16244.599998,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00078_0657nm.npy
659,552,79.000000,16320.800010,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00079_0659nm.npy
661,552,79.000000,16343.599991,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00080_0661nm.npy
663,552,79.000000,16301.400004,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00081_0663nm.npy
665,552,79.000000,16312.399988,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00082_0665nm.npy
667,552,79.000000,16326.200004,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00083_0667nm.npy
669,552,79.000000,16374.600011,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00084_0669nm.npy
671,552,79.000000,16372.799993,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00085_0671nm.npy
673,552,79.000000,16340.200001,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00086_0673nm.npy
675,552,79.000000,16350.200005,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00087_0675nm.npy
677,552,79.000000,16216.599994,552,552,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00088_0677nm.npy
679,561,88.000000,16280.600006,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00089_0679nm.npy
681,561,88.000000,16370.399998,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00090_0681nm.npy
683,561,88.000000,16413.399999,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00091_0683nm.npy
685,561,88.000000,16484.199988,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00092_0685nm.npy
687,561,88.000000,16519.200008,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00093_0687nm.npy
689,561,88.000000,16566.400000,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00094_0689nm.npy
691,561,88.000000,16614.800003,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00095_0691nm.npy
693,561,88.000000,16642.800005,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00096_0693nm.npy
695,561,88.000000,16691.600004,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00097_0695nm.npy
697,561,88.000000,16736.200001,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00098_0697nm.npy
699,561,88.000000,16777.800003,561,561,1,scan_blocks_output/Try_diferentes_times/B4_0501_0700/00099_0699nm.npy
