wavelength_nm,selected_x_px,displacement_px,max_energy,plateau_start_x,plateau_end_x,plateau_width,filepath
413,405,0.000000,14096.599975,405,405,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00001_0413nm.npy
415,405,0.000000,13089.999986,405,405,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00002_0415nm.npy
417,405,0.000000,13500.800050,405,405,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00003_0417nm.npy
419,405,0.000000,13798.200035,405,405,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00004_0419nm.npy
421,405,0.000000,14028.799988,405,405,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00005_0421nm.npy
423,414,9.000000,14341.000003,414,415,2,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00006_0423nm.npy
425,422,17.000000,14868.800044,422,422,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00007_0425nm.npy
427,422,17.000000,15526.200023,422,422,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00008_0427nm.npy
429,427,22.000000,16059.600031,427,427,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00009_0429nm.npy
431,427,22.000000,16530.000002,427,427,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00010_0431nm.npy
433,427,22.000000,16984.400012,427,427,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00011_0433nm.npy
435,427,22.000000,17266.799997,427,427,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00012_0435nm.npy
437,427,22.000000,17660.200013,427,427,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00013_0437nm.npy
439,432,27.000000,17813.999988,432,432,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00014_0439nm.npy
441,437,32.000000,18350.200027,437,437,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00015_0441nm.npy
443,441,36.000000,18813.799986,441,441,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00016_0443nm.npy
445,443,38.000000,19389.999988,443,443,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00017_0445nm.npy
447,443,38.000000,19897.999987,443,443,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00018_0447nm.npy
449,443,38.000000,20242.400014,443,443,1,scan_blocks_output/Try_diferentes_times/B2_0411_0450/00019_0449nm.npy
