eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.379808105719984912e-01
3.901835564053537269e+02,7.683358714506125509e-01
3.903671128107074537e+02,7.936930916010513926e-01
3.905506692160611806e+02,8.134739641437787050e-01
3.907342256214149074e+02,8.270999821992583989e-01
3.909177820267686343e+02,8.339926388879540520e-01
3.911013384321223612e+02,8.328594651834166918e-01
3.912848948374760880e+02,8.218074337003306029e-01
3.914684512428298149e+02,8.050516730626908757e-01
3.916520076481835417e+02,7.874593654823830446e-01
3.918355640535372686e+02,7.738976931712923113e-01
3.920191204588909955e+02,7.692133811384940234e-01
3.922026768642447223e+02,7.743177860062141482e-01
3.923862332695984492e+02,7.852384305400165188e-01
3.925697896749521760e+02,7.983845815698440429e-01
3.927533460803059029e+02,8.101655059256399616e-01
3.929369024856596297e+02,8.169904704373475157e-01
3.931204588910133566e+02,8.156731862356358942e-01
3.933040152963671403e+02,8.072129853237782759e-01
3.934875717017208672e+02,7.950498942343294795e-01
3.936711281070745940e+02,7.826519857189849771e-01
3.938546845124283209e+02,7.734873325294421287e-01
3.940382409177820477e+02,7.708543951642355951e-01
3.942217973231357746e+02,7.720087796781968104e-01
3.944053537284895015e+02,7.742319990649546568e-01
3.945889101338432283e+02,7.768188426867873586e-01
3.947724665391969552e+02,7.790640999059738059e-01
3.949560229445506820e+02,7.802625600847924447e-01
3.951395793499044089e+02,7.793421769161138490e-01
3.953231357552581358e+02,7.758006924184478459e-01
3.955066921606118626e+02,7.709454099369379421e-01
3.956902485659655895e+02,7.661398387304926283e-01
3.958738049713193163e+02,7.627474880580199512e-01
3.960573613766730432e+02,7.619678373742496680e-01
3.962409177820267701e+02,7.623633862806732386e-01
3.964244741873804969e+02,7.632215337662773269e-01
3.966080305927342238e+02,7.645139386000879833e-01
3.967915869980879506e+02,7.662122595511312584e-01
3.969751434034416775e+02,7.682881553884332027e-01
3.971586998087954044e+02,7.773874329306940112e-01
3.973422562141491312e+02,8.000886428760520808e-01
3.975258126195028581e+02,8.289356113066632670e-01
3.977093690248565849e+02,8.562851619632717570e-01
3.978929254302103118e+02,8.744941185866209610e-01
3.980764818355640386e+02,8.756149911713131395e-01
3.982600382409177655e+02,8.552958313095371246e-01
3.984435946462714924e+02,8.219245687598364380e-01
3.986271510516252192e+02,7.854852820723361440e-01
3.988107074569789461e+02,7.559620497971607511e-01
3.989942638623326729e+02,7.433389504844349904e-01
3.991778202676863998e+02,7.519138398245963639e-01
3.993613766730401267e+02,7.738710850699367372e-01
3.995449330783939104e+02,8.015850043992728269e-01
3.997284894837476372e+02,8.274329673013767206e-01
3.999120458891013641e+02,8.437923432650473732e-01
4.000956022944550909e+02,8.453099335137140846e-01
4.002791586998088178e+02,8.404198837348406670e-01
4.004627151051625447e+02,8.321897431902122166e-01
4.006462715105162715e+02,8.221151405619012698e-01
4.008298279158699984e+02,8.116917045319803625e-01
4.010133843212237252e+02,8.023985126873942608e-01
4.011969407265774521e+02,7.922797462739212815e-01
4.013804971319311790e+02,7.805233718045797575e-01
4.015640535372849058e+02,7.690543985796632898e-01
4.017476099426386327e+02,7.597978358994650350e-01
4.019311663479923595e+02,7.546786930642785940e-01
4.021147227533460864e+02,7.554010481602102534e-01
4.022982791586998133e+02,7.611528357732209038e-01
4.024818355640535401e+02,7.695494115885637143e-01
4.026653919694072670e+02,7.781841436875288620e-01
4.028489483747609938e+02,7.846504001514064131e-01
4.030325047801147207e+02,7.865909435799315341e-01
4.032160611854684475e+02,7.844964981383069080e-01
4.033996175908221744e+02,7.803429937203495426e-01
4.035831739961759013e+02,7.754615391592443174e-01
4.037667304015296281e+02,7.711832432881757793e-01
4.039502868068833550e+02,7.688392149403288078e-01
4.041338432122370818e+02,7.693750550543372313e-01
4.043173996175908087e+02,7.719450583736721105e-01
4.045009560229445356e+02,7.755172219767747510e-01
4.046845124282982624e+02,7.790841386673968971e-01
4.048680688336519893e+02,7.816384012492906264e-01
4.050516252390057161e+02,7.816908174272934051e-01
4.052351816443594430e+02,7.715188500551132256e-01
4.054187380497131699e+02,7.531081839633586572e-01
4.056022944550668967e+02,7.321693973258857069e-01
4.057858508604206236e+02,7.144130683165506035e-01
4.059694072657744073e+02,7.055497751092086878e-01
4.061529636711281341e+02,7.071387594711177060e-01
4.063365200764818610e+02,7.128655902701269698e-01
4.065200764818355879e+02,7.204805086012000537e-01
4.067036328871893147e+02,7.278635565335982438e-01
4.068871892925430416e+02,7.328947761365832703e-01
4.070707456978967684e+02,7.335853020924575363e-01
4.072543021032504953e+02,7.303216920356189190e-01
4.074378585086042222e+02,7.248497613347588686e-01
4.076214149139579490e+02,7.188193059573954047e-01
4.078049713193116759e+02,7.138801218710466578e-01
4.079885277246654027e+02,7.116820050432305367e-01
4.081720841300191296e+02,7.193353202184028516e-01
4.083556405353728564e+02,7.398750643482916445e-01
4.085391969407265833e+02,7.661010720072060076e-01
4.087227533460803102e+02,7.907831273171793685e-01
4.089063097514340370e+02,8.066910144002448213e-01
4.090898661567877639e+02,8.076600408572597312e-01
4.092734225621414907e+02,7.974140231105226739e-01
4.094569789674952176e+02,7.809697502837509298e-01
4.096405353728489445e+02,7.626892196404548852e-01
4.098240917782026713e+02,7.469344284441450377e-01
4.100076481835563982e+02,7.380579869136469906e-01
4.101912045889101250e+02,7.338276190283931077e-01
4.103747609942638519e+02,7.301012703388596314e-01
4.105583173996175788e+02,7.270631511804531710e-01
4.107418738049713056e+02,7.248974718885804469e-01
4.109254302103250325e+02,7.237884427986481795e-01
4.111089866156787593e+02,7.247458718190498139e-01
4.112925430210324862e+02,7.304525972637284648e-01
4.114760994263862131e+02,7.392441626083298134e-01
4.116596558317399399e+02,7.490063921625413901e-01
4.118432122370936668e+02,7.576251102360507250e-01
4.120267686424473936e+02,7.630415760685228532e-01
4.122103250478011205e+02,7.667994896286008943e-01
4.123938814531549042e+02,7.702998340597418947e-01
4.125774378585086311e+02,7.732651840707513990e-01
4.127609942638623579e+02,7.754181143704387269e-01
4.129445506692160848e+02,7.764811996676120875e-01
4.131281070745698116e+02,7.739873213827691556e-01
4.133116634799235385e+02,7.634276619946324116e-01
4.134952198852772653e+02,7.485409034916488125e-01
4.136787762906309922e+02,7.335443201380350553e-01
4.138623326959847191e+02,7.226551861980076152e-01
4.140458891013384459e+02,7.198873846884814576e-01
4.142294455066921728e+02,7.234174950269205429e-01
4.144130019120458996e+02,7.301822860785170954e-01
4.145965583173996265e+02,7.383852564679693753e-01
4.147801147227533534e+02,7.462299048199759754e-01
4.149636711281070802e+02,7.519197297592353779e-01
4.151472275334608071e+02,7.550200795199877302e-01
4.153307839388145339e+02,7.575578895212524699e-01
4.155143403441682608e+02,7.597184221368973311e-01
4.156978967495219877e+02,7.616164986514005752e-01
4.158814531548757145e+02,7.633669403492401306e-01
4.160650095602294414e+02,7.650984382209778945e-01
4.162485659655831682e+02,7.669825253264257459e-01
4.164321223709368951e+02,7.688621590909391346e-01
4.166156787762906220e+02,7.705104198355443579e-01
4.167992351816443488e+02,7.717003878812677131e-01
4.169827915869980757e+02,7.722051435491351645e-01
4.171663479923518025e+02,7.674430678760851832e-01
4.173499043977055294e+02,7.540238304579023332e-01
4.175334608030592562e+02,7.366858387506610706e-01
4.177170172084129831e+02,7.202214546874770029e-01
4.179005736137667100e+02,7.094230402014651826e-01
4.180841300191204368e+02,7.090773137532856429e-01
4.182676864244741637e+02,7.203446083476884310e-01
4.184512428298278905e+02,7.383715842582695421e-01
4.186347992351816174e+02,7.578172587166910334e-01
4.188183556405354011e+02,7.733406489546189588e-01
4.190019120458891280e+02,7.796003502584186728e-01
4.191854684512428548e+02,7.695929361571098859e-01
4.193690248565965817e+02,7.455115098118063610e-01
4.195525812619503085e+02,7.155694765442321970e-01
4.197361376673040354e+02,6.879802416761112704e-01
4.199196940726577623e+02,6.709572105291672361e-01
4.201032504780114891e+02,6.713687673606365536e-01
4.202868068833652160e+02,6.852708211886421319e-01
4.204703632887189428e+02,7.062297149737282176e-01
4.206539196940726697e+02,7.281696044479147867e-01
4.208374760994263966e+02,7.450146453432220373e-01
