eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,6.691141404795085679e-01
3.901835564053537269e+02,7.011044599345201966e-01
3.903671128107074537e+02,7.268439863699907022e-01
3.905506692160611806e+02,7.462235288209224660e-01
3.907342256214149074e+02,7.591338963223172032e-01
3.909177820267686343e+02,7.654658979091774063e-01
3.911013384321223612e+02,7.635218241586704258e-01
3.912848948374760880e+02,7.481626814488926414e-01
3.914684512428298149e+02,7.248769968905167671e-01
3.916520076481835417e+02,7.004287528610124713e-01
3.918355640535372686e+02,6.815819317378504216e-01
3.920191204588909955e+02,6.750587010198744187e-01
3.922026768642447223e+02,6.808481907802371724e-01
3.923862332695984492e+02,6.932345436153813933e-01
3.925697896749521760e+02,7.081450980772108217e-01
3.927533460803059029e+02,7.215071927176291977e-01
3.929369024856596297e+02,7.292481660885400396e-01
3.931204588910133566e+02,7.293365466015723220e-01
3.933040152963671403e+02,7.268969189270840792e-01
3.934875717017208672e+02,7.233895065218360898e-01
3.936711281070745940e+02,7.198143809385398884e-01
3.938546845124283209e+02,7.171716137299078975e-01
3.940382409177820477e+02,7.164614030804727918e-01
3.942217973231357746e+02,7.182617147741341412e-01
3.944053537284895015e+02,7.220067605188722482e-01
3.945889101338432283e+02,7.269460686884637868e-01
3.947724665391969552e+02,7.323291676566852093e-01
3.949560229445506820e+02,7.374055857973135231e-01
3.951395793499044089e+02,7.423564414502750175e-01
3.953231357552581358e+02,7.484729423831876227e-01
3.955066921606118626e+02,7.547971012338285934e-01
3.956902485659655895e+02,7.602755557601461600e-01
3.958738049713193163e+02,7.638549437200882197e-01
3.960573613766730432e+02,7.642325970807031243e-01
3.962409177820267701e+02,7.579809755478401634e-01
3.964244741873804969e+02,7.469331768475090394e-01
3.966080305927342238e+02,7.344789494047119227e-01
3.967915869980879506e+02,7.240080416444509837e-01
3.969751434034416775e+02,7.189102019917277264e-01
3.971586998087954044e+02,7.187750347884955815e-01
3.973422562141491312e+02,7.187465158276689081e-01
3.975258126195028581e+02,7.187290187163594135e-01
3.977093690248565849e+02,7.187097425334907363e-01
3.978929254302103118e+02,7.186758863579871814e-01
3.980764818355640386e+02,7.181047912939013678e-01
3.982600382409177655e+02,7.133898027791938379e-01
3.984435946462714924e+02,7.056917479454668518e-01
3.986271510516252192e+02,6.973014191556694552e-01
3.988107074569789461e+02,6.905096087727514709e-01
3.989942638623326729e+02,6.876071091596620555e-01
3.991778202676863998e+02,6.891434911194174173e-01
3.993613766730401267e+02,6.930793343530998740e-01
3.995449330783939104e+02,6.980470632577233658e-01
3.997284894837476372e+02,7.026803188759028762e-01
3.999120458891013641e+02,7.056127422502577184e-01
4.000956022944550909e+02,7.054331721317542714e-01
4.002791586998088178e+02,7.017027258966630487e-01
4.004627151051625447e+02,6.959487393330806571e-01
4.006462715105162715e+02,6.898531160906624660e-01
4.008298279158699984e+02,6.850977598190634010e-01
4.010133843212237252e+02,6.833680947570611730e-01
4.011969407265774521e+02,6.863835241911789842e-01
4.013804971319311790e+02,6.932058514015025930e-01
4.015640535372849058e+02,7.017945357468056145e-01
