eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.523156441664973215e-01
3.901835564053537269e+02,7.672542328807603340e-01
3.903671128107074537e+02,7.773067798275671292e-01
3.905506692160611806e+02,7.834230885962375490e-01
3.907342256214149074e+02,7.865529627760916576e-01
3.909177820267686343e+02,7.876462059564489637e-01
3.911013384321223612e+02,7.852389206710083114e-01
3.912848948374760880e+02,7.706444254772645275e-01
3.914684512428298149e+02,7.485180074999182587e-01
3.916520076481835417e+02,7.252869075143101307e-01
3.918355640535372686e+02,7.073783662957801033e-01
3.920191204588909955e+02,7.012967561634417812e-01
3.922026768642447223e+02,7.181844813302837860e-01
3.923862332695984492e+02,7.543150094351205315e-01
3.925697896749521760e+02,7.978085393072293918e-01
3.927533460803059029e+02,8.367852697758879632e-01
3.929369024856596297e+02,8.593653996703736198e-01
3.931204588910133566e+02,8.578171036724064891e-01
3.933040152963671403e+02,8.423696764856350994e-01
3.934875717017208672e+02,8.197179255939786024e-01
3.936711281070745940e+02,7.957688450587548923e-01
3.938546845124283209e+02,7.764294289412857486e-01
3.940382409177820477e+02,7.672780080104141254e-01
3.942217973231357746e+02,7.627541351164932593e-01
3.944053537284895015e+02,7.588770186346931457e-01
3.945889101338432283e+02,7.558120164263222307e-01
3.947724665391969552e+02,7.537244863526881833e-01
3.949560229445506820e+02,7.527797862750990054e-01
3.951395793499044089e+02,7.551101679664006250e-01
3.953231357552581358e+02,7.637236519875274521e-01
3.955066921606118626e+02,7.755325129609709212e-01
3.956902485659655895e+02,7.872204677794616412e-01
3.958738049713193163e+02,7.954712333357305543e-01
3.960573613766730432e+02,7.973145937054169075e-01
3.962409177820267701e+02,7.957039462337949232e-01
3.964244741873804969e+02,7.928587632421175702e-01
3.966080305927342238e+02,7.896536972021583889e-01
3.967915869980879506e+02,7.869634005856909198e-01
3.969751434034416775e+02,7.856625258644888143e-01
3.971586998087954044e+02,7.932277460539991498e-01
3.973422562141491312e+02,8.160982052923870800e-01
3.975258126195028581e+02,8.461303772133640377e-01
3.977093690248565849e+02,8.749906325135540230e-01
3.978929254302103118e+02,8.943453418895814799e-01
3.980764818355640386e+02,8.958094466042856308e-01
3.982600382409177655e+02,8.765603185984428558e-01
3.984435946462714924e+02,8.449464276253135786e-01
3.986271510516252192e+02,8.104260784248136229e-01
3.988107074569789461e+02,7.824575757368581463e-01
3.989942638623326729e+02,7.704992243013633058e-01
3.991778202676863998e+02,7.749930105281519488e-01
3.993613766730401267e+02,7.865143164276026111e-01
3.995449330783939104e+02,8.010562381804573473e-01
3.997284894837476372e+02,8.146190637601364859e-01
3.999120458891013641e+02,8.232030811400747883e-01
4.000956022944550909e+02,8.226213268206579166e-01
4.002791586998088178e+02,8.113415448617435910e-01
4.004627151051625447e+02,7.939431668282528332e-01
4.006462715105162715e+02,7.755117790678860423e-01
4.008298279158699984e+02,7.611329679283435068e-01
4.010133843212237252e+02,7.558645715311614888e-01
4.011969407265774521e+02,7.576404490646000411e-01
4.013804971319311790e+02,7.615804906656978845e-01
4.015640535372849058e+02,7.663739092650840856e-01
4.017476099426386327e+02,7.707099177933876000e-01
4.019311663479923595e+02,7.732777291812374942e-01
4.021147227533460864e+02,7.708777614878663531e-01
4.022982791586998133e+02,7.580385342383091363e-01
4.024818355640535401e+02,7.392955707868309467e-01
4.026653919694072670e+02,7.200209912792557843e-01
4.028489483747609938e+02,7.055869158614073156e-01
4.030325047801147207e+02,7.013340692075343830e-01
4.032160611854684475e+02,7.089790827301821752e-01
4.033996175908221744e+02,7.241399443170235539e-01
4.035831739961759013e+02,7.419579239063576193e-01
4.037667304015296281e+02,7.575742914364836933e-01
4.039502868068833550e+02,7.661303168457009871e-01
4.041338432122370818e+02,7.661941556780788032e-01
4.043173996175908087e+02,7.645976195469464942e-01
4.045009560229445356e+02,7.623055757996541892e-01
4.046845124282982624e+02,7.598763455200648886e-01
4.048680688336519893e+02,7.578682497920418148e-01
4.050516252390057161e+02,7.567840351342416394e-01
4.052351816443594430e+02,7.560543116161515531e-01
4.054187380497131699e+02,7.554031679829232848e-01
4.056022944550668967e+02,7.548732424922873774e-01
4.057858508604206236e+02,7.545071734019747067e-01
4.059694072657744073e+02,7.543475989697159267e-01
4.061529636711281341e+02,7.562146659925821357e-01
4.063365200764818610e+02,7.621640279572000631e-01
4.065200764818355879e+02,7.700748440913859350e-01
4.067036328871893147e+02,7.777447798889580710e-01
4.068871892925430416e+02,7.829715008437340140e-01
4.070707456978967684e+02,7.832574318527260049e-01
4.072543021032504953e+02,7.754398395371845387e-01
4.074378585086042222e+02,7.623324760184998494e-01
4.076214149139579490e+02,7.478872326235341816e-01
4.078049713193116759e+02,7.360560006791493359e-01
4.079885277246654027e+02,7.307906715122076680e-01
4.081720841300191296e+02,7.334290205574920396e-01
4.083556405353728564e+02,7.406187695285209038e-01
4.085391969407265833e+02,7.499408224574425352e-01
4.087227533460803102e+02,7.589835587578568354e-01
4.089063097514340370e+02,7.653353578433640392e-01
4.090898661567877639e+02,7.673711380689117734e-01
