eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,8.562706268382239694e-01
3.901835564053537269e+02,8.582996513923975002e-01
3.903671128107074537e+02,8.605479085467948597e-01
3.905506692160611806e+02,8.629949895444808394e-01
3.907342256214149074e+02,8.656204856285203419e-01
3.909177820267686343e+02,8.684039880419778257e-01
3.911013384321223612e+02,8.712852017332520793e-01
3.912848948374760880e+02,8.741489964117824529e-01
3.914684512428298149e+02,8.771915248334783977e-01
3.916520076481835417e+02,8.806435947987365509e-01
3.918355640535372686e+02,8.847360141079543272e-01
3.920191204588909955e+02,8.897361823145080173e-01
3.922026768642447223e+02,8.991636353820777749e-01
3.923862332695984492e+02,9.129161594711135974e-01
3.925697896749521760e+02,9.277159241798527134e-01
3.927533460803059029e+02,9.402850991065323516e-01
3.929369024856596297e+02,9.473458538493899628e-01
3.931204588910133566e+02,9.441800988154563923e-01
3.933040152963671403e+02,9.273160857479629815e-01
3.934875717017208672e+02,9.030709727523499319e-01
3.936711281070745940e+02,8.783577900051982024e-01
3.938546845124283209e+02,8.600895676830923042e-01
3.940382409177820477e+02,8.547658886510743903e-01
3.942217973231357746e+02,8.549452280937492876e-01
3.944053537284895015e+02,8.553637682946394483e-01
3.945889101338432283e+02,8.560039264813910087e-01
3.947724665391969552e+02,8.568481198816502165e-01
3.949560229445506820e+02,8.578787657230632080e-01
3.951395793499044089e+02,8.611965871805221662e-01
3.953231357552581358e+02,8.701815454695079888e-01
3.955066921606118626e+02,8.819569467662777829e-01
3.956902485659655895e+02,8.934061693610106936e-01
3.958738049713193163e+02,9.014125915438847558e-01
3.960573613766730432e+02,9.031376261798744753e-01
3.962409177820267701e+02,9.007951167793786240e-01
3.964244741873804969e+02,8.966571113985839503e-01
3.966080305927342238e+02,8.919956957504698858e-01
3.967915869980879506e+02,8.880829555480154180e-01
3.969751434034416775e+02,8.861909765041996456e-01
3.971586998087954044e+02,8.914564786296972354e-01
3.973422562141491312e+02,9.074237607172265241e-01
3.975258126195028581e+02,9.283910773664054705e-01
3.977093690248565849e+02,9.485402065418602202e-01
3.978929254302103118e+02,9.620529262082173627e-01
3.980764818355640386e+02,9.635452589579363014e-01
3.982600382409177655e+02,9.542943703320642124e-01
3.984435946462714924e+02,9.388600666002619999e-01
3.986271510516252192e+02,9.215238180375743271e-01
3.988107074569789461e+02,9.065670949190467454e-01
3.989942638623326729e+02,8.982713675197239178e-01
3.991778202676863998e+02,8.952373448255309674e-01
3.993613766730401267e+02,8.926239165105079865e-01
3.995449330783939104e+02,8.905232313798251420e-01
3.997284894837476372e+02,8.890326685363033610e-01
3.999120458891013641e+02,8.882496070827600176e-01
4.000956022944550909e+02,8.883629473387203435e-01
4.002791586998088178e+02,8.897050532995447458e-01
4.004627151051625447e+02,8.917751701646113860e-01
4.006462715105162715e+02,8.939681979615631269e-01
4.008298279158699984e+02,8.956790367180424983e-01
4.010133843212237252e+02,8.962963386042944736e-01
4.011969407265774521e+02,8.942579068625364780e-01
4.013804971319311790e+02,8.896316522173393082e-01
4.015640535372849058e+02,8.837768640416311383e-01
4.017476099426386327e+02,8.780528317083400314e-01
4.019311663479923595e+02,8.738188445903941615e-01
4.021147227533460864e+02,8.718661509260474674e-01
4.022982791586998133e+02,8.706869441635211038e-01
4.024818355640535401e+02,8.698133977319085774e-01
4.026653919694072670e+02,8.689432369615375240e-01
4.028489483747609938e+02,8.677741871827358011e-01
4.030325047801147207e+02,8.659321829805608495e-01
4.032160611854684475e+02,8.607321806878093229e-01
4.033996175908221744e+02,8.525260223203843246e-01
4.035831739961759013e+02,8.434963422363493946e-01
4.037667304015296281e+02,8.358257747937674065e-01
4.039502868068833550e+02,8.316969543507022333e-01
4.041338432122370818e+02,8.327091806067988822e-01
4.043173996175908087e+02,8.374925361323659612e-01
4.045009560229445356e+02,8.441411378600682802e-01
4.046845124282982624e+02,8.507799739008485851e-01
4.048680688336519893e+02,8.555340323656496215e-01
4.050516252390057161e+02,8.564702452771101315e-01
4.052351816443594430e+02,8.518981970158153727e-01
4.054187380497131699e+02,8.436230570341146651e-01
4.056022944550668967e+02,8.342115892681735145e-01
4.057858508604206236e+02,8.262305576541576491e-01
4.059694072657744073e+02,8.222467261282325746e-01
4.061529636711281341e+02,8.249846384233923136e-01
4.063365200764818610e+02,8.339950311341924882e-01
4.065200764818355879e+02,8.459760738839638972e-01
4.067036328871893147e+02,8.575922999622823673e-01
4.068871892925430416e+02,8.655082426587230593e-01
4.070707456978967684e+02,8.659032025499273644e-01
4.072543021032504953e+02,8.536725155995722458e-01
4.074378585086042222e+02,8.331659384501302057e-01
4.076214149139579490e+02,8.105662373203746940e-01
4.078049713193116759e+02,7.920561784290791607e-01
4.079885277246654027e+02,7.838185279950172779e-01
4.081720841300191296e+02,7.941568746787432964e-01
4.083556405353728564e+02,8.219585913155948997e-01
4.085391969407265833e+02,8.574569903627395906e-01
4.087227533460803102e+02,8.908655617355659695e-01
4.089063097514340370e+02,9.123977953494621929e-01
4.090898661567877639e+02,9.140925086201090455e-01
4.092734225621414907e+02,9.028535145348117741e-01
4.094569789674952176e+02,8.845075251229742586e-01
4.096405353728489445e+02,8.635159286693464553e-01
4.098240917782026713e+02,8.443401134586779877e-01
4.100076481835563982e+02,8.314320052698338515e-01
4.101912045889101250e+02,8.226863582438583844e-01
4.103747609942638519e+02,8.143698443336087056e-01
