eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,8.134503731621416378e-01
3.901835564053537269e+02,8.202909336253926265e-01
3.903671128107074537e+02,8.255110034645296579e-01
3.905506692160611806e+02,8.292316576415376117e-01
3.907342256214149074e+02,8.315739711184017002e-01
3.909177820267686343e+02,8.326590188571070250e-01
3.911013384321223612e+02,8.320269279889211944e-01
3.912848948374760880e+02,8.276715571690960171e-01
3.914684512428298149e+02,8.210684678586073204e-01
3.916520076481835417e+02,8.141357131694877403e-01
3.918355640535372686e+02,8.087913462137702458e-01
3.920191204588909955e+02,8.069748094137677574e-01
3.922026768642447223e+02,8.120324439832582453e-01
3.923862332695984492e+02,8.235812406610100167e-01
3.925697896749521760e+02,8.390566797082595896e-01
3.927533460803059029e+02,8.558942413862432597e-01
3.929369024856596297e+02,8.715294059561972118e-01
3.931204588910133566e+02,8.854098517158945914e-01
3.933040152963671403e+02,9.017426876203868957e-01
3.934875717017208672e+02,9.184968327995197690e-01
3.936711281070745940e+02,9.330887318056753088e-01
3.938546845124283209e+02,9.429348291912316160e-01
3.940382409177820477e+02,9.454848587239471636e-01
3.942217973231357746e+02,9.403541056111045515e-01
3.944053537284895015e+02,9.297780803553069573e-01
3.945889101338432283e+02,9.160176235071586515e-01
3.947724665391969552e+02,9.013335756172642377e-01
3.949560229445506820e+02,8.879867772362275424e-01
3.951395793499044089e+02,8.759831308885687173e-01
3.953231357552581358e+02,8.621265260844137579e-01
3.955066921606118626e+02,8.481925413765757371e-01
3.956902485659655895e+02,8.361780737888285797e-01
3.958738049713193163e+02,8.280800203449449892e-01
3.960573613766730432e+02,8.255366606545315733e-01
3.962409177820267701e+02,8.247238454298997379e-01
3.964244741873804969e+02,8.240710046215895535e-01
3.966080305927342238e+02,8.235866384340171376e-01
3.967915869980879506e+02,8.232792470715991628e-01
3.969751434034416775e+02,8.231573307387520799e-01
3.971586998087954044e+02,8.339097459517311739e-01
3.973422562141491312e+02,8.663287700127442204e-01
3.975258126195028581e+02,9.088995681747868982e-01
3.977093690248565849e+02,9.498091669384799429e-01
3.978929254302103118e+02,9.772445928044440899e-01
3.980764818355640386e+02,9.799070563751617335e-01
3.982600382409177655e+02,9.579458009000277885e-01
3.984435946462714924e+02,9.218776353180239136e-01
3.986271510516252192e+02,8.824935028184682784e-01
3.988107074569789461e+02,8.505843465906786083e-01
3.989942638623326729e+02,8.369411098239728508e-01
3.991778202676863998e+02,8.461207982343282863e-01
3.993613766730401267e+02,8.696270668467520615e-01
3.995449330783939104e+02,8.992961270944925811e-01
3.997284894837476372e+02,9.269675928121584585e-01
3.999120458891013641e+02,9.444810778343870616e-01
4.000956022944550909e+02,9.458478291988520192e-01
4.002791586998088178e+02,9.388853547690244605e-01
4.004627151051625447e+02,9.271922685460507463e-01
4.006462715105162715e+02,9.129238619786661513e-01
4.008298279158699984e+02,8.982354265156057282e-01
4.010133843212237252e+02,8.852594178602498642e-01
4.011969407265774521e+02,8.713552842973211199e-01
4.013804971319311790e+02,8.553432958253174290e-01
4.015640535372849058e+02,8.397947877192188937e-01
4.017476099426386327e+02,8.272810952540055052e-01
4.019311663479923595e+02,8.203735537046574766e-01
4.021147227533460864e+02,8.220156363928070586e-01
4.022982791586998133e+02,8.333588079091230894e-01
4.024818355640535401e+02,8.508529522052841187e-01
4.026653919694072670e+02,8.706638534316916145e-01
4.028489483747609938e+02,8.889572957387470442e-01
4.030325047801147207e+02,9.020552296825359306e-01
4.032160611854684475e+02,9.131661224122329390e-01
4.033996175908221744e+02,9.241763389977571963e-01
4.035831739961759013e+02,9.338985480930355187e-01
4.037667304015296281e+02,9.411454183519943895e-01
4.039502868068833550e+02,9.447296184285601806e-01
4.041338432122370818e+02,9.414976766208857928e-01
4.043173996175908087e+02,9.282778233567177129e-01
4.045009560229445356e+02,9.099029526655622035e-01
