eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.740593067167965691e-01
3.901835564053537269e+02,7.875308868843827748e-01
3.903671128107074537e+02,7.987507525775041639e-01
3.905506692160611806e+02,8.074792935964041352e-01
3.907342256214149074e+02,8.134768997413263092e-01
3.909177820267686343e+02,8.165039608125140846e-01
3.911013384321223612e+02,8.159753909689753115e-01
3.912848948374760880e+02,8.109434471165828384e-01
3.914684512428298149e+02,8.033146191620330612e-01
3.916520076481835417e+02,7.953049148725001016e-01
3.918355640535372686e+02,7.891303420151578596e-01
3.920191204588909955e+02,7.870282774773251777e-01
3.922026768642447223e+02,7.923418439844762684e-01
3.923862332695984492e+02,8.037099804342857645e-01
3.925697896749521760e+02,8.173948172801609457e-01
3.927533460803059029e+02,8.296584849755089808e-01
3.929369024856596297e+02,8.367631139737375934e-01
3.931204588910133566e+02,8.368932668116225715e-01
3.933040152963671403e+02,8.348305180569381978e-01
3.934875717017208672e+02,8.317420014587725285e-01
3.936711281070745940e+02,8.283553238776790728e-01
3.938546845124283209e+02,8.253980921742115617e-01
3.940382409177820477e+02,8.235586588091882154e-01
3.942217973231357746e+02,8.222099470004848865e-01
3.944053537284895015e+02,8.209536102862150519e-01
3.945889101338432283e+02,8.198929201488653895e-01
3.947724665391969552e+02,8.191311480709235759e-01
3.949560229445506820e+02,8.187715655348767330e-01
3.951395793499044089e+02,8.198538783777774563e-01
3.953231357552581358e+02,8.238440740638116599e-01
3.955066921606118626e+02,8.293145278311416790e-01
3.956902485659655895e+02,8.347289718332334685e-01
3.958738049713193163e+02,8.385511382235527611e-01
3.960573613766730432e+02,8.394387896396834359e-01
3.962409177820267701e+02,8.391780016664346364e-01
3.964244741873804969e+02,8.387173238837449807e-01
3.966080305927342238e+02,8.381983756400005481e-01
3.967915869980879506e+02,8.377627762835875291e-01
3.969751434034416775e+02,8.375521451628922254e-01
3.971586998087954044e+02,8.443103012385019257e-01
3.973422562141491312e+02,8.646935538403371924e-01
3.975258126195028581e+02,8.914596690313921767e-01
3.977093690248565849e+02,9.171813157987571685e-01
3.978929254302103118e+02,9.344311631295223464e-01
3.980764818355640386e+02,9.348204183432198278e-01
3.982600382409177655e+02,9.093605084609617251e-01
3.984435946462714924e+02,8.675463122563809026e-01
3.986271510516252192e+02,8.218878814182650761e-01
3.988107074569789461e+02,7.848952676354019609e-01
3.989942638623326729e+02,7.690785225965793837e-01
3.991778202676863998e+02,7.756587242432120277e-01
3.993613766730401267e+02,7.925247073938421760e-01
3.995449330783939104e+02,8.138125552647266225e-01
