idx,wavelength_nm,grating,filter,n_avg,settle_s,filename_npy,timestamp_unix
79,1358,2,5,5,2.0,00079_1358nm.npy,1772232543.5819347
80,1360,2,5,5,2.0,00080_1360nm.npy,1772232545.8643696
81,1362,2,5,5,2.0,00081_1362nm.npy,1772232548.1442945
82,1364,2,5,5,2.0,00082_1364nm.npy,1772232550.426672
83,1366,2,5,5,2.0,00083_1366nm.npy,1772232552.7109709
84,1368,2,5,5,2.0,00084_1368nm.npy,1772232554.9929347
85,1370,2,5,5,2.0,00085_1370nm.npy,1772232557.2749374
86,1372,2,5,5,2.0,00086_1372nm.npy,1772232559.5593543
87,1374,2,5,5,2.0,00087_1374nm.npy,1772232561.843746
88,1376,2,5,5,2.0,00088_1376nm.npy,1772232564.1395524
89,1378,2,5,5,2.0,00089_1378nm.npy,1772232566.4350412
90,1380,2,5,5,2.0,00090_1380nm.npy,1772232568.7159998
91,1382,2,5,5,2.0,00091_1382nm.npy,1772232571.010456
92,1384,2,5,5,2.0,00092_1384nm.npy,1772232573.2914596
93,1386,2,5,5,2.0,00093_1386nm.npy,1772232575.5744734
94,1388,2,5,5,2.0,00094_1388nm.npy,1772232577.858487
95,1390,2,5,5,2.0,00095_1390nm.npy,1772232580.141255
96,1392,2,5,5,2.0,00096_1392nm.npy,1772232582.4237702
97,1394,2,5,5,2.0,00097_1394nm.npy,1772232584.7171907
98,1396,2,5,5,2.0,00098_1396nm.npy,1772232586.999279
99,1398,2,5,5,2.0,00099_1398nm.npy,1772232589.2824094
100,1400,2,5,5,2.0,00100_1400nm.npy,1772232591.5632555
101,1402,2,5,5,2.0,00101_1402nm.npy,1772232593.848223
102,1404,2,5,5,2.0,00102_1404nm.npy,1772232596.1352205
103,1406,2,5,5,2.0,00103_1406nm.npy,1772232598.427242
104,1408,2,5,5,2.0,00104_1408nm.npy,1772232600.7166474
105,1410,2,5,5,2.0,00105_1410nm.npy,1772232603.0226393
106,1412,2,5,5,2.0,00106_1412nm.npy,1772232605.3152537
107,1414,2,5,5,2.0,00107_1414nm.npy,1772232607.6052978
108,1416,2,5,5,2.0,00108_1416nm.npy,1772232609.8903475
109,1418,2,5,5,2.0,00109_1418nm.npy,1772232612.1844604
110,1420,2,5,5,2.0,00110_1420nm.npy,1772232614.4688563
111,1422,2,5,5,2.0,00111_1422nm.npy,1772232616.7522438
112,1424,2,5,5,2.0,00112_1424nm.npy,1772232619.0381045
113,1426,2,5,5,2.0,00113_1426nm.npy,1772232621.3402097
114,1428,2,5,5,2.0,00114_1428nm.npy,1772232623.624466
115,1430,2,5,5,2.0,00115_1430nm.npy,1772232625.9293566
116,1432,2,5,5,2.0,00116_1432nm.npy,1772232628.2118657
117,1434,2,5,5,2.0,00117_1434nm.npy,1772232630.4934435
118,1436,2,5,5,2.0,00118_1436nm.npy,1772232632.7757776
119,1438,2,5,5,2.0,00119_1438nm.npy,1772232635.0602074
120,1440,2,5,5,2.0,00120_1440nm.npy,1772232637.3528454
121,1442,2,5,5,2.0,00121_1442nm.npy,1772232639.6403036
122,1444,2,5,5,2.0,00122_1444nm.npy,1772232641.9243352
123,1446,2,5,5,2.0,00123_1446nm.npy,1772232644.208171
124,1448,2,5,5,2.0,00124_1448nm.npy,1772232646.4893794
125,1450,2,5,5,2.0,00125_1450nm.npy,1772232648.7724075
126,1452,2,5,5,2.0,00126_1452nm.npy,1772232651.0593998
127,1454,2,5,5,2.0,00127_1454nm.npy,1772232653.357102
128,1456,2,5,5,2.0,00128_1456nm.npy,1772232655.640455
129,1458,2,5,5,2.0,00129_1458nm.npy,1772232657.9234734
130,1460,2,5,5,2.0,00130_1460nm.npy,1772232660.2262847
131,1462,2,5,5,2.0,00131_1462nm.npy,1772232662.5080984
132,1464,2,5,5,2.0,00132_1464nm.npy,1772232664.790593
133,1466,2,5,5,2.0,00133_1466nm.npy,1772232667.0810523
134,1468,2,5,5,2.0,00134_1468nm.npy,1772232669.3660917
135,1470,2,5,5,2.0,00135_1470nm.npy,1772232671.6545477
136,1472,2,5,5,2.0,00136_1472nm.npy,1772232673.9376636
137,1474,2,5,5,2.0,00137_1474nm.npy,1772232676.2226837
138,1476,2,5,5,2.0,00138_1476nm.npy,1772232678.5135474
139,1478,2,5,5,2.0,00139_1478nm.npy,1772232680.8018067
140,1480,2,5,5,2.0,00140_1480nm.npy,1772232683.0909266
141,1482,2,5,5,2.0,00141_1482nm.npy,1772232685.373328
142,1484,2,5,5,2.0,00142_1484nm.npy,1772232687.654968
143,1486,2,5,5,2.0,00143_1486nm.npy,1772232689.9399328
144,1488,2,5,5,2.0,00144_1488nm.npy,1772232692.2235453
145,1490,2,5,5,2.0,00145_1490nm.npy,1772232694.5055032
146,1492,2,5,5,2.0,00146_1492nm.npy,1772232696.7894154
147,1494,2,5,5,2.0,00147_1494nm.npy,1772232699.078325
148,1496,2,5,5,2.0,00148_1496nm.npy,1772232701.3619013
149,1498,2,5,5,2.0,00149_1498nm.npy,1772232703.646951
150,1500,2,5,5,2.0,00150_1500nm.npy,1772232705.9309852
151,1502,2,5,5,2.0,00151_1502nm.npy,1772232708.2202296
152,1504,2,5,5,2.0,00152_1504nm.npy,1772232710.5130446
153,1506,2,5,5,2.0,00153_1506nm.npy,1772232712.7957525
154,1508,2,5,5,2.0,00154_1508nm.npy,1772232715.084189
