band_index,soil_reflectance
348,0.5
349,0.5
350,0.5
351,0.5
352,0.5
353,0.5
354,0.5
355,0.5
356,0.5
357,0.5
358,0.5
359,0.5
360,0.5
361,0.5
362,0.3333333432674408
363,0.3333333432674408
364,0.3333333432674408
365,0.5
366,0.3333333432674408
367,0.3333333432674408
368,0.3333333432674408
369,0.3333333432674408
370,0.3333333432674408
371,0.6666666865348816
372,0.3333333432674408
373,0.3333333432674408
374,0.3333333432674408
375,0.3333333432674408
376,0.3333333432674408
377,0.6666666865348816
378,0.6666666865348816
379,0.6666666865348816
380,0.6666666865348816
381,0.6666666865348816
382,0.6666666865348816
383,0.6666666865348816
384,0.6666666865348816
385,0.6666666865348816
386,0.6666666865348816
387,0.6666666865348816
388,0.6666666865348816
389,0.6666666865348816
390,0.6666666865348816
391,0.3333333432674408
392,0.6666666865348816
393,0.5
394,0.3333333432674408
395,0.5
396,0.5
397,0.5
398,0.5
399,0.5
400,0.5
401,0.5
402,0.5
403,0.5
404,0.5
405,0.5
406,0.5
407,0.5
408,0.5
409,0.5
410,0.5
411,0.5
412,0.5
413,0.5
414,0.4000000059604645
415,0.4000000059604645
416,0.4000000059604645
417,0.4000000059604645
418,0.4000000059604645
419,0.4000000059604645
420,0.4000000059604645
421,0.4000000059604645
422,0.4000000059604645
423,0.4000000059604645
424,0.4000000059604645
425,0.4000000059604645
426,0.4000000059604645
427,0.3333333432674408
428,0.3333333432674408
429,0.3333333432674408
430,0.3333333432674408
431,0.3333333432674408
432,0.3333333432674408
433,0.3333333432674408
434,0.3333333432674408
435,0.3333333432674408
436,0.3333333432674408
437,0.3333333432674408
438,0.2857142984867096
439,0.2857142984867096
440,0.2857142984867096
441,0.2857142984867096
442,0.2857142984867096
443,0.2857142984867096
444,0.2857142984867096
445,0.2857142984867096
446,0.25
447,0.25
448,0.25
449,0.25
450,0.25
451,0.2222222238779068
452,0.2222222238779068
453,0.2222222238779068
454,0.2222222238779068
455,0.2222222238779068
456,0.2222222238779068
457,0.20000000298023224
458,0.20000000298023224
459,0.20000000298023224
460,0.20000000298023224
461,0.1818181872367859
462,0.1818181872367859
463,0.1818181872367859
464,0.1818181872367859
465,0.1666666716337204
466,0.1666666716337204
467,0.1666666716337204
468,0.1538461595773697
469,0.1538461595773697
470,0.23076923191547394
471,0.2142857164144516
472,0.2142857164144516
473,0.2142857164144516
474,0.2142857164144516
475,0.20000000298023224
476,0.20000000298023224
477,0.1875
478,0.1875
479,0.1875
480,0.1764705926179886
481,0.1764705926179886
482,0.1666666716337204
483,0.1666666716337204
484,0.15789473056793213
485,0.15789473056793213
486,0.15000000596046448
487,0.15000000596046448
488,0.1428571492433548
489,0.1428571492433548
490,0.13636364042758942
491,0.13636364042758942
492,0.1304347813129425
493,0.125
494,0.125
495,0.11999999731779099
496,0.11999999731779099
497,0.1538461595773697
498,0.14814814925193787
499,0.14814814925193787
500,0.1428571492433548
501,0.13793103396892548
502,0.13333334028720856
503,0.13333334028720856
504,0.12903225421905518
505,0.125
506,0.12121212482452393
507,0.12121212482452393
508,0.11764705926179886
509,0.11428571492433548
510,0.1111111119389534
511,0.10810811072587967
512,0.10526315867900848
513,0.10256410390138626
514,0.125
515,0.12195122241973877
516,0.1190476194024086
517,0.11627907305955887
518,0.11363636702299118
519,0.1111111119389534
520,0.10869564861059189
521,0.1041666641831398
522,0.10204081982374191
523,0.10000000149011612
524,0.09803921729326248
525,0.09615384787321091
526,0.1111111119389534
527,0.1090909093618393
528,0.10526315867900848
529,0.1034482792019844
530,0.10169491171836853
531,0.09836065769195557
532,0.095238097012043
533,0.09375
534,0.10606060922145844
535,0.10294117778539658
536,0.10000000149011612
537,0.0972222238779068
538,0.09459459781646729
539,0.09210526198148727
540,0.10256410390138626
541,0.09876543283462524
542,0.09638553857803345
543,0.09302325546741486
544,0.08988764137029648
545,0.09677419066429138
546,0.09278350323438644
547,0.0882352963089943
548,0.09259258955717087
549,0.08771929889917374
550,0.09243697673082352
551,0.08403361588716507
552,0.08547008782625198
553,0.0892857164144516
554,0.08571428805589676
555,0.09090909361839294
556,0.08695652335882187
557,0.09302325546741486
558,0.08641975373029709
559,0.09333333373069763
560,0.08571428805589676
561,0.0923076942563057
562,0.10169491171836853
563,0.09259258955717087
564,0.10204081982374191
565,0.1111111119389534
566,0.09756097197532654
567,0.10526315867900848
