band_index,soil_reflectance
255,0.25
256,0.25
257,0.3333333432674408
258,0.25
259,0.25
260,0.25
261,0.25
262,0.25
263,0.25
264,0.25
265,0.5
266,0.5
267,0.5
268,0.5
269,0.5
270,0.5
271,0.5
272,0.5
273,0.5
274,0.5
275,0.5
276,0.5
277,0.5
278,0.5
279,0.5
280,0.5
281,0.5
282,0.5
283,0.5
284,0.5
285,0.5
286,0.4000000059604645
287,0.5
288,0.5
289,0.4000000059604645
290,0.4000000059604645
291,0.4000000059604645
292,0.4000000059604645
293,0.4000000059604645
294,0.4000000059604645
295,0.4000000059604645
296,0.4000000059604645
297,0.4000000059604645
298,0.4000000059604645
299,0.4000000059604645
300,0.4000000059604645
301,0.4000000059604645
302,0.4000000059604645
303,0.4000000059604645
304,0.4000000059604645
305,0.4000000059604645
306,0.4000000059604645
307,0.3333333432674408
308,0.3333333432674408
309,0.3333333432674408
310,0.3333333432674408
311,0.3333333432674408
312,0.3333333432674408
313,0.3333333432674408
314,0.3333333432674408
315,0.3333333432674408
316,0.3333333432674408
317,0.3333333432674408
318,0.3333333432674408
319,0.3333333432674408
320,0.3333333432674408
321,0.3333333432674408
322,0.2857142984867096
323,0.2857142984867096
324,0.2857142984867096
325,0.2857142984867096
326,0.2857142984867096
327,0.2857142984867096
328,0.2857142984867096
329,0.2857142984867096
330,0.2857142984867096
331,0.2857142984867096
332,0.25
333,0.25
334,0.25
335,0.25
336,0.25
337,0.25
338,0.25
339,0.25
340,0.25
341,0.2222222238779068
342,0.2222222238779068
343,0.2222222238779068
344,0.2222222238779068
345,0.3333333432674408
346,0.30000001192092896
347,0.30000001192092896
348,0.30000001192092896
349,0.30000001192092896
350,0.30000001192092896
351,0.30000001192092896
352,0.27272728085517883
353,0.27272728085517883
354,0.27272728085517883
355,0.27272728085517883
356,0.25
357,0.25
358,0.25
359,0.25
360,0.25
361,0.23076923191547394
362,0.23076923191547394
363,0.23076923191547394
364,0.2142857164144516
365,0.2142857164144516
366,0.2857142984867096
367,0.2666666805744171
368,0.2666666805744171
369,0.2666666805744171
370,0.25
371,0.25
372,0.23529411852359772
373,0.23529411852359772
374,0.23529411852359772
375,0.2222222238779068
376,0.2222222238779068
377,0.2222222238779068
378,0.2631579041481018
379,0.2631579041481018
380,0.25
381,0.25
382,0.2380952388048172
383,0.2380952388048172
384,0.22727273404598236
385,0.21739129722118378
386,0.260869562625885
387,0.25
388,0.25
389,0.23999999463558197
390,0.23076923191547394
391,0.23076923191547394
392,0.2222222238779068
393,0.2142857164144516
394,0.25
395,0.24137930572032928
396,0.23333333432674408
397,0.22580644488334656
398,0.21875
399,0.21875
400,0.24242424964904785
401,0.23529411852359772
402,0.22857142984867096
403,0.2222222238779068
404,0.21621622145175934
405,0.2368421107530594
406,0.23076923191547394
407,0.22499999403953552
408,0.22499999403953552
409,0.2142857164144516
410,0.23255814611911774
411,0.22727273404598236
412,0.2222222238779068
413,0.239130437374115
414,0.23404255509376526
415,0.22448979318141937
416,0.2199999988079071
417,0.23529411852359772
418,0.23076923191547394
419,0.24074074625968933
420,0.23636363446712494
421,0.22807016968727112
422,0.24137930572032928
423,0.23728813230991364
424,0.2295081913471222
425,0.2380952388048172
426,0.234375
427,0.24242424964904785
428,0.23529411852359772
429,0.24285714328289032
430,0.2361111044883728
431,0.2432432472705841
432,0.2368421107530594
433,0.24358974397182465
434,0.2469135820865631
435,0.2409638613462448
436,0.24705882370471954
437,0.25
438,0.2527472674846649
439,0.25531914830207825
440,0.25773194432258606
441,0.2574257552623749
442,0.2571428716182709
443,0.26605504751205444
444,0.2719298303127289
445,0.2750000059604645
446,0.2734375
447,0.27941176295280457
448,0.28169015049934387
449,0.27586206793785095
450,0.27586206793785095
451,0.279720276594162
452,0.2753623127937317
453,0.2748091518878937
454,0.2800000011920929
455,0.28205129504203796
456,0.27927929162979126
457,0.2788461446762085
458,0.27835050225257874
459,0.2747252881526947
460,0.2738095223903656
461,0.27848100662231445
462,0.2777777910232544
463,0.26865673065185547
464,0.27419355511665344
465,0.28070175647735596
466,0.2641509473323822
467,0.26530611515045166
468,0.260869562625885
469,0.27906978130340576
470,0.26829269528388977
471,0.25641027092933655
472,0.2702702581882477
473,0.2777777910232544
474,0.2571428716182709
475,0.27272728085517883
476,0.28125
477,0.25806450843811035
478,0.27586206793785095
479,0.2857142984867096
480,0.26923078298568726
481,0.2916666567325592
482,0.260869562625885
483,0.2857142984867096
484,0.30000001192092896
485,0.2777777910232544
486,0.29411765933036804
487,0.3125
488,0.2857142984867096
489,0.3076923191547394
490,0.3333333432674408
491,0.27272728085517883
492,0.30000001192092896
493,0.3333333432674408
494,0.375
495,0.375
496,0.4285714328289032
497,0.3333333432674408
498,0.3333333432674408
499,0.3333333432674408
500,0.4000000059604645
501,0.4000000059604645
502,0.5
503,0.5
504,0.5
505,0.5
506,0.5
507,0.3333333432674408
508,0.3333333432674408
509,0.3333333432674408
510,0.3333333432674408
511,0.3333333432674408
512,0.3333333432674408
513,0.3333333432674408
514,0.3333333432674408
515,0.3333333432674408
516,0.5
517,0.5
518,0.5
519,0.5
520,0.5
521,0.5
522,0.5
523,0.5
524,0.5
525,0.5
526,0.5
527,0.5
528,0.5
529,0.5
530,0.5
531,0.5
532,0.5
533,0.5
534,0.5
535,0.5
536,0.5
537,0.5
538,0.5
539,0.5
540,0.5
541,0.5
542,0.5
543,0.5
544,0.5
545,0.5
546,0.5
547,0.5
548,0.5
549,0.5
550,0.5
551,0.5
552,0.5
553,0.5
554,0.5
