source_row,wavelength_nm,posicion_equivalente_soil,soil_reflectance_interpolada
1,400,1,0.25
9,415,5.47940074906367,0.25
11,419,6.59925093632959,0.25
17,431,9.95880149812734,0.25
20,437,11.6385767790262,0.5
24,445,13.8782771535581,0.5
28,453,16.1179775280899,0.5
31,459,17.7977528089888,0.5
36,469,20.5973782771536,0.5
39,475,22.2771535580524,0.5
44,485,25.0767790262172,0.5
48,493,27.3164794007491,0.5
49,495,27.876404494382,0.5
52,501,29.5561797752809,0.5
67,531,37.9550561797753,0.400000005960464
73,543,41.314606741573,0.400000005960464
78,553,44.1142322097378,0.400000005960464
84,565,47.4737827715356,0.400000005960464
87,571,49.1535580524345,0.400000005960464
98,593,55.312734082397,0.333333343267441
102,601,57.5524344569288,0.333333343267441
107,611,60.3520599250936,0.333333343267441
111,619,62.5917602996255,0.333333343267441
120,637,67.6310861423221,0.303281623995706
127,651,71.5505617977528,0.28571429848671
134,665,75.4700374531835,0.28571429848671
140,677,78.8295880149813,0.25
149,695,83.8689138576779,0.25
151,699,84.9887640449438,0.25
160,719,90.0280898876404,0.225343322737163
166,731,93.3876404494382,0.300000011920929
178,755,100.106741573034,0.272727280855179
193,785,108.505617977528,0.230769231915474
205,809,115.224719101124,0.26292135909702
210,819,118.024344569288,0.235294118523598
219,837,123.063670411985,0.224828615505597
237,873,133.142322097378,0.25
256,911,143.780898876405,0.220296075002531
264,927,148.260299625468,0.226918733912461
271,941,152.179775280899,0.229732065555755
284,967,159.458801498127,0.236796109361595
300,999,168.417602996255,0.239670819445942
308,1015,172.897003745318,0.241595207082198
335,1069,188.014981273408,0.257276387361998
351,1101,196.973782771536,0.279619125056356
353,1105,198.093632958801,0.275310518701425
395,1189,221.610486891386,0.277930289172055
402,1203,225.529962546816,0.276978652631299
451,1301,252.966292134831,0.338951320460673
