source_row,wavelength_nm,posicion_equivalente_soil,soil_reflectance_interpolada
1,400,1,0.25
9,415,5.47940074906367,0.25
17,431,9.95880149812734,0.25
24,445,13.8782771535581,0.5
31,459,17.7977528089888,0.5
38,473,21.7172284644195,0.5
45,487,25.6367041198502,0.5
49,495,27.876404494382,0.5
52,501,29.5561797752809,0.5
73,543,41.314606741573,0.400000005960464
84,565,47.4737827715356,0.400000005960464
87,571,49.1535580524345,0.400000005960464
102,601,57.5524344569288,0.333333343267441
111,619,62.5917602996255,0.333333343267441
127,651,71.5505617977528,0.28571429848671
140,677,78.8295880149813,0.25
151,699,84.9887640449438,0.25
166,731,93.3876404494382,0.300000011920929
183,765,102.906367041199,0.25
209,817,117.464419475655,0.243170302235678
231,861,129.782771535581,0.229623690135916
260,919,146.020599250936,0.242277374288786
280,959,157.219101123595,0.226166161593427
303,1005,170.097378277154,0.230344383234388
335,1069,188.014981273408,0.257276387361998
353,1105,198.093632958801,0.275310518701425
402,1203,225.529962546816,0.276978652631299
