source_row,wavelength_nm,posicion_equivalente_soil,soil_reflectance_interpolada
1,400,1,0.25
8,413,4.91947565543071,0.25
9,415,5.47940074906367,0.25
11,419,6.59925093632959,0.25
15,427,8.83895131086142,0.25
17,431,9.95880149812734,0.25
20,437,11.6385767790262,0.5
22,441,12.7584269662921,0.5
24,445,13.8782771535581,0.5
27,451,15.5580524344569,0.5
28,453,16.1179775280899,0.5
31,459,17.7977528089888,0.5
33,463,18.9176029962547,0.5
36,469,20.5973782771536,0.5
38,473,21.7172284644195,0.5
39,475,22.2771535580524,0.5
40,477,22.8370786516854,0.5
44,485,25.0767790262172,0.5
45,487,25.6367041198502,0.5
48,493,27.3164794007491,0.5
49,495,27.876404494382,0.5
51,499,28.9962546816479,0.5
52,501,29.5561797752809,0.5
67,531,37.9550561797753,0.400000005960464
73,543,41.314606741573,0.400000005960464
75,547,42.4344569288389,0.400000005960464
78,553,44.1142322097378,0.400000005960464
81,559,45.7940074906367,0.400000005960464
84,565,47.4737827715356,0.400000005960464
85,567,48.0337078651685,0.400000005960464
87,571,49.1535580524345,0.400000005960464
91,579,51.3932584269663,0.400000005960464
98,593,55.312734082397,0.333333343267441
101,599,56.9925093632959,0.333333343267441
102,601,57.5524344569288,0.333333343267441
105,607,59.2322097378277,0.333333343267441
107,611,60.3520599250936,0.333333343267441
111,619,62.5917602996255,0.333333343267441
115,627,64.8314606741573,0.333333343267441
120,637,67.6310861423221,0.303281623995706
125,647,70.4307116104869,0.28571429848671
127,651,71.5505617977528,0.28571429848671
132,661,74.3501872659176,0.28571429848671
134,665,75.4700374531835,0.28571429848671
136,669,76.5898876404494,0.28571429848671
140,677,78.8295880149813,0.25
146,689,82.189138576779,0.25
149,695,83.8689138576779,0.25
151,699,84.9887640449438,0.25
154,707,86.6685393258427,0.231429464277926
164,727,92.2677902621723,0.300000011920929
166,731,93.3876404494382,0.300000011920929
172,743,96.747191011236,0.300000011920929
178,755,100.106741573034,0.272727280855179
183,765,102.906367041199,0.25
193,785,108.505617977528,0.230769231915474
204,807,114.664794007491,0.266666680574417
205,809,115.224719101124,0.26292135909702
209,817,117.464419475655,0.243170302235678
210,819,118.024344569288,0.235294118523598
215,829,120.823970037453,0.224523269002804
219,837,123.063670411985,0.224828615505597
231,861,129.782771535581,0.229623690135916
237,873,133.142322097378,0.25
247,893,138.741573033708,0.216336723961187
256,911,143.780898876405,0.220296075002531
260,919,146.020599250936,0.242277374288786
269,937,151.059925093633,0.236478192920096
271,941,152.179775280899,0.229732065555755
273,945,153.299625468165,0.224999994039536
284,967,159.458801498127,0.236796109361595
291,981,163.378277153558,0.233582457297304
300,999,168.417602996255,0.239670819445942
303,1005,170.097378277154,0.230344383234388
308,1015,172.897003745318,0.241595207082198
313,1025,175.696629213483,0.238157655583339
335,1069,188.014981273408,0.257276387361998
350,1099,196.413857677903,0.277458817213216
352,1103,197.533707865169,0.277394397037753
358,1115,200.893258426966,0.28183233670974
391,1181,219.370786516854,0.270126641131519
399,1197,223.850187265918,0.273195766889201
402,1203,225.529962546816,0.276978652631299
451,1301,252.966292134831,0.338951320460673
