eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.659460532054044313e-01
3.901835564053537269e+02,7.753594325285636524e-01
3.903671128107074537e+02,7.813639322024851230e-01
3.905506692160611806e+02,7.847259513988944502e-01
3.907342256214149074e+02,7.862118892895171296e-01
3.909177820267686343e+02,7.865881450460787683e-01
3.911013384321223612e+02,7.837608373374290727e-01
3.912848948374760880e+02,7.671076979772237792e-01
3.914684512428298149e+02,7.418602113579639834e-01
3.916520076481835417e+02,7.153522204740424550e-01
3.918355640535372686e+02,6.949175683198518527e-01
3.920191204588909955e+02,6.879759009226960043e-01
3.922026768642447223e+02,7.070305744078133614e-01
3.923862332695984492e+02,7.477971909343694712e-01
3.925697896749521760e+02,7.968715927404481647e-01
3.927533460803059029e+02,8.408496220641331620e-01
3.929369024856596297e+02,8.663271211435084052e-01
3.931204588910133566e+02,8.662182647469724994e-01
3.933040152963671403e+02,8.560223649602908269e-01
3.934875717017208672e+02,8.403927711334598927e-01
3.936711281070745940e+02,8.225771728285623530e-01
3.938546845124283209e+02,8.058232596076828624e-01
3.940382409177820477e+02,7.931840106326956130e-01
3.942217973231357746e+02,7.815022013616437224e-01
3.944053537284895015e+02,7.695983667545824858e-01
3.945889101338432283e+02,7.589162241998131941e-01
3.947724665391969552e+02,7.508994910856364724e-01
3.949560229445506820e+02,7.469918848003533896e-01
3.951395793499044089e+02,7.502024662504359620e-01
3.953231357552581358e+02,7.624810111195282625e-01
3.955066921606118626e+02,7.793145745138126967e-01
3.956902485659655895e+02,7.959757858557924282e-01
3.958738049713193163e+02,8.077372745679702870e-01
3.960573613766730432e+02,8.103152878407975379e-01
3.962409177820267701e+02,8.073038188766843426e-01
3.964244741873804969e+02,8.019841071286936129e-01
3.966080305927342238e+02,7.959915127979489968e-01
3.967915869980879506e+02,7.909613960855739201e-01
3.969751434034416775e+02,7.885291171926919196e-01
3.971586998087954044e+02,7.972151123239443749e-01
3.973422562141491312e+02,8.235205227508017867e-01
3.975258126195028581e+02,8.580632750478445203e-01
3.977093690248565849e+02,8.912580986752209888e-01
3.978929254302103118e+02,9.135197230930802714e-01
3.980764818355640386e+02,9.161186674466658131e-01
3.982600382409177655e+02,9.022764592033675202e-01
3.984435946462714924e+02,8.795426469445393192e-01
3.986271510516252192e+02,8.547187763713030018e-01
3.988107074569789461e+02,8.346063931847808037e-01
3.989942638623326729e+02,8.260070430860946278e-01
3.991778202676863998e+02,8.284816065930936668e-01
3.993613766730401267e+02,8.348313648927279118e-01
3.995449330783939104e+02,8.428458807079207693e-01
3.997284894837476372e+02,8.503207854663447085e-01
3.999120458891013641e+02,8.550517105956798591e-01
4.000956022944550909e+02,8.538596455716215283e-01
4.002791586998088178e+02,8.420553235948876614e-01
4.004627151051625447e+02,8.238478744679166299e-01
4.006462715105162715e+02,8.045593778999968748e-01
4.008298279158699984e+02,7.895119136004171700e-01
4.010133843212237252e+02,7.839975794038557266e-01
4.011969407265774521e+02,7.856779699876408340e-01
4.013804971319311790e+02,7.894061599565667109e-01
4.015640535372849058e+02,7.939418417966049857e-01
4.017476099426386327e+02,7.980447079937268429e-01
4.019311663479923595e+02,8.004744510339039110e-01
4.021147227533460864e+02,7.977331190045913178e-01
4.022982791586998133e+02,7.832960538853697141e-01
4.024818355640535401e+02,7.622205344154959761e-01
4.026653919694072670e+02,7.405472394353739274e-01
4.028489483747609938e+02,7.243168477854077247e-01
4.030325047801147207e+02,7.195212931691772340e-01
4.032160611854684475e+02,7.276115234825115685e-01
4.033996175908221744e+02,7.436552965409599647e-01
4.035831739961759013e+02,7.625109281456607935e-01
4.037667304015296281e+02,7.790367340977527588e-01
4.039502868068833550e+02,7.880910301983742317e-01
4.041338432122370818e+02,7.868353286111995359e-01
4.043173996175908087e+02,7.800571293305755827e-01
4.045009560229445356e+02,7.706358042362998484e-01
4.046845124282982624e+02,7.612283174970693178e-01
4.048680688336519893e+02,7.544916332815806426e-01
4.050516252390057161e+02,7.530783824206480626e-01
4.052351816443594430e+02,7.580742819712168457e-01
4.054187380497131699e+02,7.671165679998783737e-01
4.056022944550668967e+02,7.774005249694714292e-01
4.057858508604206236e+02,7.861214373428341284e-01
4.059694072657744073e+02,7.904745895828051427e-01
4.061529636711281341e+02,7.901883329729861849e-01
4.063365200764818610e+02,7.887827540196922227e-01
4.065200764818355879e+02,7.865110813879487850e-01
4.067036328871893147e+02,7.835389727979942265e-01
4.068871892925430416e+02,7.800320859700669018e-01
4.070707456978967684e+02,7.754989361668378489e-01
4.072543021032504953e+02,7.647419750764775648e-01
4.074378585086042222e+02,7.496432070760529198e-01
4.076214149139579490e+02,7.339831358341786238e-01
4.078049713193116759e+02,7.215422650194691645e-01
4.079885277246654027e+02,7.161010983005393626e-01
4.081720841300191296e+02,7.240362304170077090e-01
4.083556405353728564e+02,7.453653648811169319e-01
4.085391969407265833e+02,7.725992992610373200e-01
4.087227533460803102e+02,7.982299435975914736e-01
4.089063097514340370e+02,8.147492079316019931e-01
4.090898661567877639e+02,8.169299770855830145e-01
4.092734225621414907e+02,8.145770282657283090e-01
4.094569789674952176e+02,8.105263298241099923e-01
4.096405353728489445e+02,8.054916182829470195e-01
4.098240917782026713e+02,8.001866301644579016e-01
4.100076481835563982e+02,7.953221568620736370e-01
4.101912045889101250e+02,7.898559959172758438e-01
4.103747609942638519e+02,7.832995113699846579e-01
4.105583173996175788e+02,7.767863084935483498e-01
4.107418738049713056e+02,7.714499925613148568e-01
4.109254302103250325e+02,7.684241688466326714e-01
4.111089866156787593e+02,7.700956430602946545e-01
4.112925430210324862e+02,7.805043392219215281e-01
4.114760994263862131e+02,7.959414190030243974e-01
4.116596558317399399e+02,8.119578056527309018e-01
4.118432122370936668e+02,8.241044224201687918e-01
4.120267686424473936e+02,8.277993995979706643e-01
4.122103250478011205e+02,8.137980172930215916e-01
4.123938814531549042e+02,7.851539295704141885e-01
4.125774378585086311e+02,7.511456824373901053e-01
4.127609942638623579e+02,7.210518219011641250e-01
4.129445506692160848e+02,7.041508939689579138e-01
4.131281070745698116e+02,7.075354849236896726e-01
4.133116634799235385e+02,7.260860279379585114e-01
4.134952198852772653e+02,7.522381455207354239e-01
4.136787762906309922e+02,7.785831964681946271e-01
4.138623326959847191e+02,7.977125395765101157e-01
4.140458891013384459e+02,8.024320402532291174e-01
4.142294455066921728e+02,7.933556986350407403e-01
4.144130019120458996e+02,7.765015987187541269e-01
