eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,8.007565677684691519e-01
3.901835564053537269e+02,8.072813358137220785e-01
3.903671128107074537e+02,8.117768821706076166e-01
3.905506692160611806e+02,8.146047017507276333e-01
3.907342256214149074e+02,8.161262894656837741e-01
3.909177820267686343e+02,8.167031402270780172e-01
3.911013384321223612e+02,8.157316414200181942e-01
3.912848948374760880e+02,8.097528500376622862e-01
3.914684512428298149e+02,8.006885257585963922e-01
3.916520076481835417e+02,7.911716566546797003e-01
3.918355640535372686e+02,7.838352307977709543e-01
3.920191204588909955e+02,7.813723123645883728e-01
3.922026768642447223e+02,7.910652765851934332e-01
3.923862332695984492e+02,8.118029373850843555e-01
3.925697896749521760e+02,8.367667039500401582e-01
3.927533460803059029e+02,8.591379854658398596e-01
3.929369024856596297e+02,8.720981911182623669e-01
3.931204588910133566e+02,8.707622991387574674e-01
3.933040152963671403e+02,8.596568518338459919e-01
3.934875717017208672e+02,8.428496364291728771e-01
3.936711281070745940e+02,8.240859599165810678e-01
3.938546845124283209e+02,8.071111292879152854e-01
3.940382409177820477e+02,7.954632185079458795e-01
3.942217973231357746e+02,7.858550419372319906e-01
3.944053537284895015e+02,7.765263927506748098e-01
3.945889101338432283e+02,7.684163853265165711e-01
3.947724665391969552e+02,7.624641340429991754e-01
3.949560229445506820e+02,7.596087532783649676e-01
3.951395793499044089e+02,7.622233460371801161e-01
3.953231357552581358e+02,7.724816855258822557e-01
3.955066921606118626e+02,7.873446276053948090e-01
3.956902485659655895e+02,8.035908773615968448e-01
3.958738049713193163e+02,8.179991398803668767e-01
3.960573613766730432e+02,8.275990897131760837e-01
3.962409177820267701e+02,8.340601423293612093e-01
3.964244741873804969e+02,8.392790331941910598e-01
3.966080305927342238e+02,8.442715892471549521e-01
3.967915869980879506e+02,8.500536374277425367e-01
3.969751434034416775e+02,8.576410046754430194e-01
3.971586998087954044e+02,8.711666952599442793e-01
3.973422562141491312e+02,8.930443427086329766e-01
3.975258126195028581e+02,9.179164293725062818e-01
3.977093690248565849e+02,9.403291945728974310e-01
3.978929254302103118e+02,9.548288776311392168e-01
3.980764818355640386e+02,9.551397154088282493e-01
3.982600382409177655e+02,9.340603628981816176e-01
3.984435946462714924e+02,8.994405945713530581e-01
3.986271510516252192e+02,8.616380193395249965e-01
3.988107074569789461e+02,8.310102461138790808e-01
3.989942638623326729e+02,8.179148838055977366e-01
3.991778202676863998e+02,8.233232529487956031e-01
3.993613766730401267e+02,8.371859198653286427e-01
3.995449330783939104e+02,8.546830525120474586e-01
3.997284894837476372e+02,8.710021169565641541e-01
3.999120458891013641e+02,8.813305792665085958e-01
4.000956022944550909e+02,8.808810534164392969e-01
4.002791586998088178e+02,8.689148927256127308e-01
4.004627151051625447e+02,8.504578172194711128e-01
4.006462715105162715e+02,8.309048729782768650e-01
4.008298279158699984e+02,8.156511060822921877e-01
4.010133843212237252e+02,8.100590648180741038e-01
4.011969407265774521e+02,8.113651436401694284e-01
4.013804971319311790e+02,8.142628687346499250e-01
4.015640535372849058e+02,8.177882145989983087e-01
4.017476099426386327e+02,8.209771557306974055e-01
4.019311663479923595e+02,8.228656666272300413e-01
4.021147227533460864e+02,8.212625639592560089e-01
4.022982791586998133e+02,8.126077330150467404e-01
4.024818355640535401e+02,7.999732358671259869e-01
4.026653919694072670e+02,7.869803801510985020e-01
4.028489483747609938e+02,7.772504735025691502e-01
4.030325047801147207e+02,7.742559768025601974e-01
4.032160611854684475e+02,7.746012725148399003e-01
4.033996175908221744e+02,7.752860300348748401e-01
4.035831739961759013e+02,7.760907993051263665e-01
4.037667304015296281e+02,7.767961302680556068e-01
4.039502868068833550e+02,7.771825728661237997e-01
4.041338432122370818e+02,7.769216374641808587e-01
4.043173996175908087e+02,7.757525693543104728e-01
4.045009560229445356e+02,7.739260642311642791e-01
4.046845124282982624e+02,7.717138656998866475e-01
4.048680688336519893e+02,7.693877173656221702e-01
4.050516252390057161e+02,7.671501184930680228e-01
4.052351816443594430e+02,7.641521685476042602e-01
4.054187380497131699e+02,7.605763285956856912e-01
4.056022944550668967e+02,7.570914786344444813e-01
4.057858508604206236e+02,7.543664986610132406e-01
4.059694072657744073e+02,7.530702686725246897e-01
4.061529636711281341e+02,7.568951365756345639e-01
4.063365200764818610e+02,7.691559500630071877e-01
4.065200764818355879e+02,7.854590497451232611e-01
4.067036328871893147e+02,8.012657283156034982e-01
4.068871892925430416e+02,8.120372784680687239e-01
4.070707456978967684e+02,8.128097328590554449e-01
4.072543021032504953e+02,7.985785918167347397e-01
4.074378585086042222e+02,7.747179539888271460e-01
4.076214149139579490e+02,7.484218403202071990e-01
4.078049713193116759e+02,7.268842717557497668e-01
4.079885277246654027e+02,7.172992692403298287e-01
4.081720841300191296e+02,7.288195214599018090e-01
4.083556405353728564e+02,7.598039080954320790e-01
